,genres,early_access,sentiment,year,price,genre_encoded,sentiment_numeric
0,"['Free to Play', 'Indie', 'RPG', 'Strategy']",False,Mostly Positive,2018,0.0,False,3
1,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",False,Mostly Positive,2017,0.0,True,3
2,"['Action', 'Adventure', 'Simulation']",False,Mixed,2018,3.99,False,0
5,"['Casual', 'Indie', 'Simulation']",False,Mostly Positive,2018,0.99,True,3
6,"['Adventure', 'Casual', 'Indie', 'RPG']",False,Mixed,2018,0.99,True,0
7,['Strategy'],False,Mostly Positive,2006,6.99,False,3
8,['Strategy'],False,Very Positive,2006,6.99,False,1
9,"['Action', 'Indie', 'RPG']",False,Very Positive,2006,9.99,False,1
10,"['Casual', 'Strategy', 'Early Access']",True,Mixed,2017,9.99,True,0
11,['Action'],False,Mostly Positive,2005,9.99,False,3
12,"['Indie', 'Strategy']",False,Very Positive,2006,9.99,False,1
13,"['Action', 'Indie', 'RPG']",False,Mixed,2006,9.99,False,0
14,"['Indie', 'Simulation']",False,Overwhelmingly Positive,2006,9.99,False,5
15,['Racing'],False,Mostly Positive,2006,39.99,False,3
16,"['Casual', 'Indie']",False,Very Positive,2006,0.0,True,1
17,"['Casual', 'Indie']",False,Mixed,2006,4.99,True,0
19,['Strategy'],False,Mostly Positive,2006,4.99,False,3
20,"['Adventure', 'RPG']",False,Very Positive,2006,19.99,False,1
21,['Racing'],False,Very Positive,2006,9.99,False,1
22,['Racing'],False,Very Positive,2005,7.49,False,1
23,"['Action', 'Adventure']",False,Mostly Positive,2007,14.99,False,3
24,['Strategy'],False,Mostly Positive,2006,9.99,False,3
27,['Strategy'],False,Very Positive,2006,4.99,False,1
29,['Strategy'],False,Mixed,2006,9.99,False,0
31,"['Casual', 'Indie']",False,Mixed,2007,4.99,True,0
33,"['Action', 'Adventure']",False,Very Positive,2007,8.99,False,1
34,['Action'],False,Mixed,2006,19.99,False,0
35,"['Action', 'Adventure']",False,Very Positive,2006,19.99,False,1
37,"['Action', 'Adventure']",False,Positive,2006,19.99,False,2
46,['Action'],False,Very Positive,2007,2.99,False,1
47,['Action'],False,Overwhelmingly Positive,2007,4.99,False,5
48,['Strategy'],False,Mostly Negative,2007,4.99,False,4
49,['Strategy'],False,Very Positive,2006,12.99,False,1
50,"['Action', 'RPG']",False,Very Positive,2007,19.99,False,1
51,['Strategy'],False,Overwhelmingly Positive,2006,12.99,False,5
52,['Strategy'],False,Overwhelmingly Positive,2006,12.99,False,5
54,['Strategy'],False,Mostly Positive,2006,4.99,False,3
55,['Casual'],False,Mostly Positive,2007,6.99,True,3
59,"['Action', 'Adventure']",False,Very Positive,2006,6.99,False,1
61,['Strategy'],False,Very Positive,2008,19.99,False,1
62,['Casual'],False,Very Positive,2007,9.99,True,1
63,"['RPG', 'Casual', 'Adventure']",False,Very Positive,2007,9.99,True,1
64,['Strategy'],False,Very Negative,2007,9.99,False,7
65,"['Action', 'Adventure', 'Strategy']",False,Mostly Positive,2007,9.99,False,3
66,['Racing'],False,Mostly Positive,2007,9.99,False,3
67,['Action'],False,Mixed,2008,5.99,False,0
68,['Action'],False,Mixed,2007,7.99,False,0
69,['Simulation'],False,Mostly Negative,2006,9.99,False,4
70,['Action'],False,Mixed,2006,9.99,False,0
71,"['Action', 'Adventure']",False,Mostly Positive,2007,4.99,False,3
72,['Action'],False,Very Positive,2006,2.99,False,1
73,"['Simulation', 'Strategy']",False,Very Positive,2006,19.99,False,1
74,['Action'],False,Very Positive,2005,2.99,False,1
77,"['Casual', 'Indie']",False,Positive,2008,4.99,True,2
81,['Action'],False,Mostly Positive,2006,9.99,False,3
82,['Simulation'],False,Very Positive,2005,9.99,False,1
83,"['Casual', 'Simulation']",False,Positive,2008,9.99,True,2
84,['Casual'],False,Mixed,2008,9.99,True,0
85,['Casual'],False,Mostly Positive,2008,9.99,True,3
86,['Casual'],False,Mostly Positive,2008,9.99,True,3
87,['Casual'],False,Positive,2008,9.99,True,2
88,['Casual'],False,Positive,2007,9.99,True,2
89,['Simulation'],False,Mixed,2007,9.99,False,0
90,['Casual'],False,Mixed,2005,9.99,True,0
91,"['Action', 'Adventure']",False,Mostly Positive,2007,9.99,False,3
92,['Simulation'],False,Mixed,2007,9.99,False,0
93,['Simulation'],False,Very Positive,2006,9.99,False,1
94,['Simulation'],False,Very Positive,2008,9.99,False,1
95,['Adventure'],False,Mixed,2005,9.99,False,0
96,['Racing'],False,Negative,2005,9.99,False,6
97,['Adventure'],False,Mixed,2006,9.99,False,0
98,['Racing'],False,Mixed,2008,9.99,False,0
99,['Simulation'],False,Mixed,2007,9.99,False,0
100,['Adventure'],False,Mixed,2008,9.99,False,0
101,"['Adventure', 'RPG']",False,Mostly Positive,2008,9.99,False,3
102,"['Adventure', 'Indie']",False,Negative,2008,4.99,False,6
103,"['Simulation', 'Strategy']",False,Mixed,2007,7.99,False,0
104,"['Action', 'Indie']",False,Mixed,2008,4.99,False,0
105,['Racing'],False,Very Positive,2008,19.99,False,1
108,['Racing'],False,Positive,2008,7.99,False,2
112,"['Action', 'RPG']",False,Very Positive,2008,9.99,False,1
113,['Action'],False,Very Positive,2008,19.99,False,1
114,['Action'],False,Very Positive,2007,19.99,False,1
116,"['Action', 'RPG']",False,Very Positive,2008,9.99,False,1
117,['Indie'],False,Very Positive,2008,9.99,False,1
118,['Racing'],False,Positive,2008,2.99,False,2
119,"['Strategy', 'Simulation']",False,Positive,2008,2.49,False,2
120,['Strategy'],False,Mostly Positive,2008,19.99,False,3
122,"['Action', 'Adventure']",False,Very Positive,2008,19.99,False,1
123,"['Simulation', 'Strategy']",False,Mixed,2008,9.99,False,0
124,"['RPG', 'Strategy']",False,Mostly Positive,2008,9.99,False,3
125,['Action'],False,Very Positive,2008,9.99,False,1
126,"['Indie', 'Casual']",False,Mixed,2008,4.99,True,0
127,['Racing'],False,Mixed,2006,4.99,False,0
128,['Strategy'],False,Mostly Positive,2006,9.99,False,3
129,['Action'],False,Very Positive,2005,9.99,False,1
130,['Strategy'],False,Very Positive,2007,9.99,False,1
131,['Strategy'],False,Mostly Positive,2008,19.99,False,3
133,['Casual'],False,Very Positive,2008,4.99,True,1
134,['Indie'],False,Very Positive,2008,9.99,False,1
135,"['Action', 'Simulation', 'Strategy']",False,Very Positive,2008,15.99,False,1
136,['Action'],False,Very Positive,2008,0.0,False,1
137,"['Casual', 'Indie']",False,Mostly Positive,2008,4.99,True,3
138,"['Indie', 'Casual', 'Sports']",False,Mixed,2008,19.99,True,0
139,"['Action', 'Adventure']",False,Very Positive,2008,14.99,False,1
140,['Action'],False,Mostly Positive,2008,9.99,False,3
141,"['Action', 'Indie', 'Strategy']",False,Mixed,2008,4.99,False,0
142,['Action'],False,Mostly Positive,2009,9.99,False,3
